,t0,T1,cp_flag,K1,Pi1_ask,Pi1_bid,T2,K2,Pi2_ask,Pi2_bid,Adj_S0
0,2022-08-23,2023-03-17,C,150.0,8.4,7.95,2023-04-21,130.0,22.2,21.6,140.92771911621094
1,2022-08-23,2023-03-17,C,155.0,6.15,5.849999999999999,2023-04-21,150.0,9.3,8.95,140.92771911621094
2,2022-08-23,2023-03-17,C,160.0,4.4,4.1,2023-04-21,155.0,7.1,6.7,140.92771911621094
3,2022-08-23,2023-03-17,P,75.0,23.827217406003147,23.06721740600315,2023-04-21,130.0,29.350000000000044,28.800000000000047,140.92771911621094
4,2022-08-23,2023-03-17,P,95.0,-13.805758581968686,-14.345758581968685,2023-04-21,135.0,0.9250000000000171,0.47500000000001696,140.92771911621094
5,2022-08-23,2023-03-17,P,105.0,2.7366312977954603,2.50663129779546,2023-04-21,140.0,17.175000000000008,16.77500000000001,140.92771911621094
6,2022-08-30,2023-03-17,C,145.0,7.65,7.35,2023-04-21,145.0,8.7,8.3,134.89413452148438
7,2022-08-30,2023-03-17,C,150.0,5.65,5.3,2023-04-21,150.0,6.6,6.199999999999999,134.89413452148438
8,2022-08-30,2023-03-17,C,155.0,4.0,3.7,,,,,134.89413452148438
9,2022-08-30,2023-03-17,P,125.0,4.400000000000006,4.150000000000006,2023-04-21,130.0,6.200000000000012,5.900000000000011,134.89413452148438
10,2022-08-31,2023-03-17,C,140.0,9.1,8.5,2023-04-21,130.0,16.15,15.4,132.73861694335938
11,2022-08-31,2023-03-17,C,145.0,6.7,6.3,2023-04-21,145.0,7.85,7.05,132.73861694335938
12,2022-08-31,2023-03-17,C,155.0,3.35,3.0,,,,,132.73861694335938
13,2022-08-31,2023-03-17,C,160.0,2.35,2.04,,,,,132.73861694335938
14,2022-08-31,2023-03-17,C,165.0,1.61,1.31,,,,,132.73861694335938
15,2022-08-31,2023-03-17,P,125.0,4.7499999999999885,4.399999999999989,2023-04-21,125.0,5.199999999999992,4.849999999999991,132.73861694335938
16,2022-09-13,2023-03-17,C,145.00000000000003,6.55,6.3,2023-04-21,145.0,7.85,7.2,132.9695587158203
17,2022-09-13,2023-03-17,C,150.0,4.7,4.45,2023-04-21,150.0,5.9,5.2,132.9695587158203
18,2022-09-13,2023-03-17,C,160.0,2.33,1.97,2023-04-21,154.99999999999997,4.35,3.7,132.9695587158203
19,2022-09-13,2023-03-17,P,124.99999999999999,9.624999999999991,9.424999999999992,2023-04-21,140.0,10.749999999999995,10.199999999999994,132.9695587158203
20,2022-09-13,2023-03-17,P,130.0,16.174999999999997,15.924999999999997,2023-04-21,145.0,18.56873938890402,17.968739388904027,132.9695587158203
21,2022-09-13,2023-03-17,P,135.0,7.666463472861855,7.4664634728618555,2023-04-21,150.0,11.625000000000007,10.82500000000001,132.9695587158203
22,2022-09-13,2023-03-17,P,140.0,-5.149999999999977,-5.399999999999977,,,,,132.9695587158203
23,2022-09-16,2023-03-17,C,145.0,6.55,6.3,2023-04-21,140.0,9.95,9.1,133.06576538085938
24,2022-09-16,2023-03-17,C,160.0,2.46,1.96,2023-04-21,150.0,5.65,5.2,133.06576538085938
25,2022-09-16,2023-03-17,P,135.0,7.599999999999983,7.249999999999983,2023-04-21,115.0,28.075000000000003,27.575000000000003,133.06576538085938
26,2022-09-16,2023-03-17,P,140.0,9.799999999999994,9.399999999999995,2023-04-21,140.0,20.549999999999994,19.899999999999995,133.06576538085938
27,2022-09-16,2023-03-17,P,145.0,12.599999999999973,12.049999999999976,2023-04-21,150.0,-18.374999999999993,-19.014999999999993,133.06576538085938
28,2022-09-20,2023-03-17,C,125.0,17.8,17.35,2023-04-21,140.0,9.3,8.95,132.315185546875
29,2022-09-20,2023-03-17,C,145.0,6.0,5.75,,,,,132.315185546875
30,2022-09-20,2023-03-17,C,150.0,4.25,3.95,,,,,132.315185546875
31,2022-09-20,2023-03-17,C,155.0,2.92,2.6,,,,,132.315185546875
32,2022-09-20,2023-03-17,P,115.0,27.424999999999983,27.174999999999983,2023-04-21,115.00000000000001,3.150000000000004,2.810000000000004,132.315185546875
33,2022-09-20,2023-03-17,P,140.0,-14.934999999999995,-15.074999999999996,2023-04-21,120.0,4.0,3.25,132.315185546875
34,2022-09-21,2023-03-17,C,140.0,7.5,7.15,2023-04-21,145.0,6.349999999999999,6.05,130.6119384765625
35,2022-09-21,2023-03-17,C,145.0,5.3999999999999995,5.05,2023-04-21,150.0,4.65,4.3,130.6119384765625
36,2022-09-21,2023-03-17,C,150.0,3.8499999999999996,3.55,,,,,130.6119384765625
37,2022-09-21,2023-03-17,C,155.0,2.72,2.3,,,,,130.6119384765625
38,2022-09-21,2023-03-17,P,114.99999999999999,2.950000000000001,2.610000000000001,2023-04-21,115.0,3.449999999999972,2.829999999999972,130.6119384765625
39,2022-09-21,2023-03-17,P,135.0,8.40000000000001,8.050000000000008,2023-04-21,125.0,15.410276303685373,15.110276303685373,130.6119384765625
40,2022-09-22,2023-03-17,C,120.0,20.95,20.25,2023-04-21,140.0,8.9,8.45,131.0738525390625
41,2022-09-22,2023-03-17,C,140.0,7.900000000000001,7.5,2023-04-21,145.0,6.7,6.35,131.0738525390625
42,2022-09-22,2023-03-17,C,145.0,5.587551376048026,5.337551376048026,2023-04-21,150.0,5.0,4.6,131.0738525390625
43,2022-09-22,2023-03-17,C,150.0,3.95,3.7,2023-04-21,160.0,2.59,2.14,131.0738525390625
44,2022-09-22,2023-03-17,C,155.0,2.77,2.4599999999999995,,,,,131.0738525390625
45,2022-09-22,2023-03-17,C,160.0,1.92,1.58,,,,,131.0738525390625
46,2022-09-22,2023-03-17,P,100.0,21.224999999999994,20.974999999999994,2023-04-21,130.0,7.0500000000000025,6.600000000000003,131.0738525390625
47,2022-09-22,2023-03-17,P,120.0,-16.165000000000006,-16.385000000000005,,,,,131.0738525390625
48,2022-09-22,2023-03-17,P,135.0,8.20000000000001,7.900000000000012,,,,,131.0738525390625
49,2022-09-23,2023-03-17,C,140.0,7.65,7.4,2023-04-21,145.0,6.55,6.1,130.46759033203125
50,2022-09-23,2023-03-17,C,145.0,5.55,5.3,2023-04-21,160.0,2.6,2.0,130.46759033203125
51,2022-09-23,2023-03-17,C,155.0,2.65,2.53,2023-04-21,169.99999999999997,1.25,1.03,130.46759033203125
52,2022-09-23,2023-03-17,C,160.0,1.88,1.63,,,,,130.46759033203125
53,2022-09-23,2023-03-17,P,110.0,17.45000000000001,17.150000000000013,2023-04-21,105.0,6.572997049929284,6.262997049929283,130.46759033203125
54,2022-09-23,2023-03-17,P,115.0,22.75780072200839,22.457800722008393,2023-04-21,110.0,22.65,22.35,130.46759033203125
55,2022-09-23,2023-03-17,P,120.0,-5.694999999999974,-5.894999999999973,2023-04-21,115.0,23.524999999999995,23.174999999999994,130.46759033203125
56,2022-09-23,2023-03-17,P,125.0,0.7083849931019075,0.5083849931019073,2023-04-21,120.0,-0.22505039454391906,-0.5250503945439193,130.46759033203125
57,2022-09-23,2023-03-17,P,130.0,16.69117138104862,16.19117138104862,2023-04-21,125.0,6.300000000000011,5.800000000000011,130.46759033203125
58,2022-09-23,2023-03-17,P,135.0,4.100000000000023,3.8500000000000227,2023-04-21,130.0,-1.9933518780413575,-2.543351878041358,130.46759033203125
59,2022-09-23,2023-03-17,P,140.0,-13.3,-13.45,2023-04-21,135.0,15.00000000000001,14.600000000000012,130.46759033203125
60,2022-09-26,2023-03-17,C,140.0,7.95,7.6,2023-04-21,140.0,8.85,8.55,130.5926971435547
61,2022-09-26,2023-03-17,C,145.0,5.75,5.5,2023-04-21,150.0,4.950000000000001,4.65,130.5926971435547
62,2022-09-26,2023-03-17,C,150.0,4.1,3.8,,,,,130.5926971435547
63,2022-09-26,2023-03-17,C,160.0,1.99,1.64,,,,,130.5926971435547
64,2022-09-26,2023-03-17,C,165.0,1.25,1.05,,,,,130.5926971435547
65,2022-09-26,2023-03-17,P,105.0,11.899999999999997,11.699999999999998,2023-04-21,110.0,27.406992868826215,27.106992868826218,130.5926971435547
66,2022-09-26,2023-03-17,P,115.0,13.049999999999992,12.749999999999991,2023-04-21,115.0,3.6999999999999975,3.399999999999997,130.5926971435547
67,2022-09-26,2023-03-17,P,120.0,17.913822388260826,17.663822388260826,2023-04-21,125.0,10.799999999999992,10.499999999999991,130.5926971435547
68,2022-09-26,2023-03-17,P,125.0,20.681180499954724,20.331180499954723,2023-04-21,130.0,2.528828583513371,2.1288285835133705,130.5926971435547
69,2022-09-26,2023-03-17,P,130.0,-18.010653648998993,-18.24065364899899,2023-04-21,135.0,-15.310000000000008,-15.610000000000008,130.5926971435547
70,2022-09-26,2023-03-17,P,135.0,3.8749999999999973,3.474999999999997,,,,,130.5926971435547
71,2022-09-26,2023-03-17,P,140.0,26.445000000000004,25.795000000000005,,,,,130.5926971435547
72,2022-09-26,2023-03-17,P,155.0,-13.669999999999993,-13.969999999999994,,,,,130.5926971435547
73,2022-09-27,2023-03-17,C,135.0,8.35,8.0,2023-04-21,140.0,7.15,6.65,127.00334930419922
74,2022-09-27,2023-03-17,C,140.0,6.3,5.85,2023-04-21,145.0,5.25,4.9,127.00334930419922
75,2022-09-27,2023-03-17,C,145.0,4.45,4.1,2023-04-21,155.0,2.89,2.37,127.00334930419922
76,2022-09-27,2023-03-17,C,155.0,2.2,1.85,2023-04-21,160.0,2.03,1.61,127.00334930419922
77,2022-09-27,2023-03-17,C,160.0,1.4499999999999997,1.21,,,,,127.00334930419922
78,2022-09-27,2023-03-17,C,220.0,0.15,0.03,,,,,127.00334930419922
79,2022-09-27,2023-03-17,P,105.0,27.300000000000015,26.950000000000014,2023-04-21,105.0,32.574999999999974,31.924999999999972,127.00334930419922
80,2022-09-27,2023-03-17,P,110.0,3.4065284748763816,3.1565284748763816,2023-04-21,110.0,23.625,23.125,127.00334930419922
81,2022-09-27,2023-03-17,P,115.0,24.025506111489754,23.475506111489757,2023-04-21,130.0,-10.574999999999983,-11.024999999999983,127.00334930419922
82,2022-09-27,2023-03-17,P,120.0,-0.0249999999999857,-0.22499999999998588,2023-04-21,135.0,-18.005000000000003,-18.395000000000003,127.00334930419922
83,2022-09-27,2023-03-17,P,125.0,1.2841531040366845,0.9841531040366847,,,,,127.00334930419922
84,2022-09-27,2023-03-17,P,130.0,-16.25999999999999,-16.569999999999993,,,,,127.00334930419922
85,2022-09-27,2023-03-17,P,135.0,15.900000000000002,15.250000000000004,,,,,127.00334930419922
86,2022-09-27,2023-03-17,P,140.0,-1.1499999999999773,-1.3999999999999773,,,,,127.00334930419922
87,2022-09-28,2023-03-17,C,135.0,8.3,7.85,2023-04-21,155.0,2.85,2.33,127.00334930419922
88,2022-09-28,2023-03-17,C,140.0,6.15,5.75,,,,,127.00334930419922
89,2022-09-28,2023-03-17,C,145.0,4.3,4.0,,,,,127.00334930419922
90,2022-09-28,2023-03-17,C,150.0,2.99,2.7,,,,,127.00334930419922
91,2022-09-28,2023-03-17,C,155.0,1.99,1.79,,,,,127.00334930419922
92,2022-09-28,2023-03-17,C,160.0,1.34,1.15,,,,,127.00334930419922
93,2022-09-28,2023-03-17,C,165.0,0.92,0.75,,,,,127.00334930419922
94,2022-09-28,2023-03-17,P,105.0,27.1,26.9,2023-04-21,105.0,12.49616203744969,12.096162037449691,127.00334930419922
95,2022-09-28,2023-03-17,P,110.0,17.977590362222042,17.827590362222043,2023-04-21,110.0,3.3999999999999977,2.9799999999999978,127.00334930419922
96,2022-09-28,2023-03-17,P,115.0,-1.2043497074435077,-1.464349707443508,2023-04-21,115.0,24.350000000000016,23.900000000000013,127.00334930419922
97,2022-09-28,2023-03-17,P,119.99999999999999,19.82500000000001,19.625000000000007,2023-04-21,120.0,15.245736226318257,14.995736226318257,127.00334930419922
98,2022-09-28,2023-03-17,P,125.0,1.524999999999983,1.3249999999999829,2023-04-21,125.0,-12.818224342401576,-13.198224342401575,127.00334930419922
99,2022-09-28,2023-03-17,P,130.0,-6.625000000000014,-6.875000000000014,2023-04-21,130.0,-0.6032350964202662,-1.0032350964202665,127.00334930419922
100,2022-09-28,2023-03-17,P,135.0,-19.230000000000004,-19.480000000000004,2023-04-21,135.0,1.4000000000000172,1.0000000000000169,127.00334930419922
101,2022-09-29,2023-03-17,C,130.0,8.95,8.7,2023-04-21,129.99999999999997,10.0,9.4,123.84701538085938
102,2022-09-29,2023-03-17,C,135.0,6.55,6.35,2023-04-21,140.0,5.45,5.3,123.84701538085938
103,2022-09-29,2023-03-17,C,140.0,4.6,4.45,2023-04-21,145.0,3.8516851627016133,3.7516851627016132,123.84701538085938
104,2022-09-29,2023-03-17,C,150.0,2.04,2.0,2023-04-21,150.0,2.73,2.64,123.84701538085938
105,2022-09-29,2023-03-17,C,155.0,1.38,1.22,2023-04-21,155.0,2.18,1.82,123.84701538085938
106,2022-09-29,2023-03-17,P,110.0,23.22500000000001,22.97500000000001,2023-04-21,105.0,3.050000000000023,2.6800000000000237,123.84701538085938
107,2022-09-29,2023-03-17,P,120.0,10.750000000000005,10.550000000000006,2023-04-21,135.0,23.149999999999984,22.349999999999987,123.84701538085938
108,2022-09-29,2023-03-17,P,125.0,-7.325000000000003,-7.575000000000003,2023-04-21,145.0,9.449999999999989,8.949999999999989,123.84701538085938
109,2022-09-29,2023-03-17,P,130.0,-0.39999999999999414,-0.5499999999999945,,,,,123.84701538085938
110,2022-09-29,2023-03-17,P,135.0,12.249999999999996,11.849999999999998,,,,,123.84701538085938
111,2022-09-30,2023-03-17,C,125.0,10.2,9.95,2023-04-21,125.0,11.25,10.85,121.48941040039062
112,2022-09-30,2023-03-17,C,130.0,7.6,7.3,2023-04-21,135.0,6.55,6.05,121.48941040039062
113,2022-09-30,2023-03-17,C,135.0,5.55,5.15,2023-04-21,140.0,4.7,4.35,121.48941040039062
114,2022-09-30,2023-03-17,C,140.0,3.7,3.55,2023-04-21,145.0,3.4,2.99,121.48941040039062
115,2022-09-30,2023-03-17,C,145.0,2.48,2.3,2023-04-21,150.0,2.44,2.02,121.48941040039062
116,2022-09-30,2023-03-17,C,150.0,1.6,1.49,2023-04-21,155.0,1.72,1.34,121.48941040039062
117,2022-09-30,2023-03-17,C,155.0,1.04,0.94,,,,,121.48941040039062
118,2022-09-30,2023-03-17,P,125.0,8.350000000000014,8.150000000000015,2023-04-21,105.0,18.349999999999987,17.899999999999984,121.48941040039062
119,2022-09-30,2023-03-17,P,135.0,13.599999999999994,13.349999999999994,2023-04-21,120.0,27.075000000000035,26.725000000000033,121.48941040039062
120,2022-10-03,2023-03-17,C,135.0,6.0,5.8,2023-04-21,130.0,9.35,9.05,123.66417694091795
121,2022-10-03,2023-03-17,C,140.0,4.15,3.95,2023-04-21,135.0,6.95,6.7,123.66417694091795
122,2022-10-03,2023-03-17,C,145.0,2.81,2.59,2023-04-21,140.0,5.1,4.9,123.66417694091795
123,2022-10-03,2023-03-17,C,150.0,1.75,1.64,2023-04-21,150.0,2.57,2.3,123.66417694091795
124,2022-10-03,2023-03-17,P,125.0,12.224999999999985,12.024999999999986,2023-04-21,130.0,10.199999999999996,9.899999999999999,123.66417694091795
125,2022-10-03,2023-03-17,P,130.0,4.475000000000006,4.3250000000000055,,,,,123.66417694091795
126,2022-10-04,2023-03-17,C,130.0,9.05,8.8,2023-04-21,130.0,10.05,9.8,125.19425201416016
127,2022-10-04,2023-03-17,C,135.0,6.5,6.3,2023-04-21,135.0,7.6027635264908815,7.252763526490881,125.19425201416016
128,2022-10-04,2023-03-17,C,140.0,4.5,4.35,2023-04-21,140.0,5.6,5.1,125.19425201416016
129,2022-10-04,2023-03-17,C,145.0,2.98,2.88,2023-04-21,145.0,3.95,3.7,125.19425201416016
130,2022-10-04,2023-03-17,C,150.0,1.98,1.81,2023-04-21,150.0,2.81,2.49,125.19425201416016
131,2022-10-04,2023-03-17,C,160.0,0.82,0.7,,,,,125.19425201416016
132,2022-10-04,2023-03-17,P,100.0,1.7080912168611133,1.5680912168611132,2023-04-21,110.0,23.12500000000001,22.975000000000012,125.19425201416016
133,2022-10-04,2023-03-17,P,115.0,18.525000000000002,18.375000000000004,2023-04-21,115.0,14.349999999999985,14.149999999999986,125.19425201416016
134,2022-10-04,2023-03-17,P,120.0,9.672137236370514,9.522137236370515,2023-04-21,120.0,0.26787831842607934,-0.03212168157392048,125.19425201416016
135,2022-10-04,2023-03-17,P,125.0,16.44999999999999,16.19999999999999,2023-04-21,125.0,2.0250000000000057,1.7750000000000057,125.19425201416016
136,2022-10-04,2023-03-17,P,130.0,-6.425000000000009,-6.525000000000008,2023-04-21,130.0,-10.575000000000008,-10.875000000000009,125.19425201416016
137,2022-10-04,2023-03-17,P,135.0,-4.024999999999995,-4.174999999999994,,,,,125.19425201416016
138,2022-10-04,2023-03-17,P,145.0,17.600000000000023,17.350000000000023,,,,,125.19425201416016
139,2022-10-05,2023-03-17,C,130.0,8.6,8.25,2023-04-21,130.0,9.5,9.2,124.3281707763672
140,2022-10-05,2023-03-17,C,135.0,6.05,5.85,2023-04-21,140.0,5.15,4.85,124.3281707763672
141,2022-10-05,2023-03-17,C,140.0,4.1,3.95,2023-04-21,150.0,2.59,2.16,124.3281707763672
142,2022-10-05,2023-03-17,C,145.0,2.73,2.54,2023-04-21,155.0,1.7,1.39,124.3281707763672
143,2022-10-05,2023-03-17,C,150.0,1.71,1.55,,,,,124.3281707763672
144,2022-10-05,2023-03-17,P,120.0,5.1,4.9,2023-04-21,105.0,22.325000000000024,22.12500000000002,124.3281707763672
145,2022-10-05,2023-03-17,P,125.0,11.750000000000004,11.400000000000002,2023-04-21,110.0,-1.309999999999983,-1.789999999999983,124.3281707763672
146,2022-10-05,2023-03-17,P,130.0,3.85,3.65,2023-04-21,115.0,-0.8886916808184224,-1.2386916808184225,124.3281707763672
147,2022-10-06,2023-03-17,C,130.0,7.5,7.05,2023-04-21,125.0,11.4,10.65,121.7107391357422
148,2022-10-06,2023-03-17,C,135.0,5.4,4.9,2023-04-21,150.0,2.36,1.85,121.7107391357422
149,2022-10-06,2023-03-17,C,140.0,3.65,3.3,2023-04-21,155.0,1.69,1.22,121.7107391357422
150,2022-10-06,2023-03-17,C,150.0,1.49,1.31,,,,,121.7107391357422
151,2022-10-06,2023-03-17,C,155.0,0.99,0.8,,,,,121.7107391357422
152,2022-10-06,2023-03-17,P,90.0,6.914295377895869,6.694295377895869,2023-04-21,105.0,3.2500000000000133,2.720000000000014,121.7107391357422
153,2022-10-06,2023-03-17,P,95.0,-2.612893790142063,-2.902893790142063,2023-04-21,110.0,18.825503981600143,18.37550398160014,121.7107391357422
154,2022-10-06,2023-03-17,P,120.0,6.299999999999992,5.999999999999991,2023-04-21,125.0,-5.999999999999977,-6.549999999999978,121.7107391357422
155,2022-10-06,2023-03-17,P,125.0,8.15000000000001,7.800000000000008,,,,,121.7107391357422
156,2022-10-06,2023-03-17,P,135.0,13.399999999999999,12.949999999999996,,,,,121.7107391357422
157,2022-10-07,2023-03-17,C,130.0,6.35,6.05,2023-04-21,120.0,12.6,12.2,119.58406829833984
158,2022-10-07,2023-03-17,C,135.0,4.45,4.15,2023-04-21,130.0,7.35,7.0,119.58406829833984
159,2022-10-07,2023-03-17,C,145.0,1.94,1.73,2023-04-21,145.0,2.66,2.26,119.58406829833984
160,2022-10-07,2023-03-17,P,105.0,17.800000000000004,17.6,2023-04-21,120.0,7.599999999999985,7.399999999999986,119.58406829833984
161,2022-10-07,2023-03-17,P,110.0,-1.0657122314836158,-1.3157122314836158,2023-04-21,124.99999999999999,9.799999999999969,9.549999999999969,119.58406829833984
162,2022-10-07,2023-03-17,P,120.0,-3.0499999999999776,-3.249999999999977,,,,,119.58406829833984
163,2022-10-07,2023-03-17,P,125.0,8.95,8.8,,,,,119.58406829833984
164,2022-10-07,2023-03-17,P,130.0,11.65000000000002,11.40000000000002,,,,,119.58406829833984
165,2022-10-10,2023-03-17,C,115.0,14.9,14.4,2023-04-21,130.0,7.35,6.9,119.09329986572266
